Date,IncidenceOfCopd,PrevalenceOfCopd
2018-06-22,4,10
2018-06-23,1,1
2018-06-24,0,0
2018-06-25,1,9
2018-06-26,2,15
2018-06-27,1,12
2018-06-28,4,10
2018-06-29,0,4
2018-06-30,0,0
2018-07-01,1,1
2018-07-02,1,10
2018-07-03,1,12
2018-07-04,1,9
2018-07-05,1,12
2018-07-06,1,10
2018-07-07,0,0
2018-07-08,1,1
2018-07-09,1,14
2018-07-10,2,5
2018-07-11,2,10
2018-07-12,2,12
2018-07-13,2,6
2018-07-14,0,0
2018-07-15,0,0
2018-07-16,3,16
2018-07-17,2,8
2018-07-18,2,11
2018-07-19,1,13
2018-07-20,0,1
2018-07-21,0,0
2018-07-22,0,0
2018-07-23,2,10
2018-07-24,3,13
2018-07-25,0,7
2018-07-26,1,4
2018-07-27,1,11
2018-07-28,0,1
2018-07-29,0,0
2018-07-30,2,19
2018-07-31,1,6
2018-08-01,1,13
2018-08-02,1,12
2018-08-03,1,7
2018-08-04,0,0
2018-08-05,0,0
2018-08-06,4,12
2018-08-07,4,8
2018-08-08,0,6
2018-08-09,1,6
2018-08-10,3,13
2018-08-11,0,0
2018-08-12,0,0
2018-08-13,0,11
2018-08-14,0,5
2018-08-15,6,13
2018-08-16,4,10
2018-08-17,0,6
2018-08-18,0,0
2018-08-19,0,1
2018-08-20,3,8
2018-08-21,2,6
2018-08-22,1,10
2018-08-23,3,10
2018-08-24,1,8
2018-08-25,0,0
2018-08-26,0,0
2018-08-27,0,1
2018-08-28,2,11
2018-08-29,4,10
2018-08-30,0,8
2018-08-31,3,11
2018-09-01,0,2
2018-09-02,0,1
2018-09-03,2,19
2018-09-04,4,15
2018-09-05,2,14
2018-09-06,1,10
2018-09-07,2,12
2018-09-08,0,0
2018-09-09,0,0
2018-09-10,1,14
2018-09-11,1,6
2018-09-12,1,8
2018-09-13,0,11
2018-09-14,2,10
2018-09-15,0,0
2018-09-16,0,0
2018-09-17,2,10
2018-09-18,2,11
2018-09-19,2,15
2018-09-20,3,9
2018-09-21,1,9
2018-09-22,1,1
2018-09-23,0,0
2018-09-24,0,14
2018-09-25,2,9
2018-09-26,2,10
2018-09-27,4,16
2018-09-28,0,4
2018-09-29,0,2
2018-09-30,0,0
2018-10-01,0,10
2018-10-02,2,17
2018-10-03,2,15
2018-10-04,1,7
2018-10-05,1,10
2018-10-06,0,0
2018-10-07,0,0
2018-10-08,3,12
2018-10-09,5,12
2018-10-10,0,6
2018-10-11,3,14
2018-10-12,1,11
2018-10-13,0,0
2018-10-14,0,0
2018-10-15,1,10
2018-10-16,1,11
2018-10-17,2,12
2018-10-18,1,13
2018-10-19,2,7
2018-10-20,0,0
2018-10-21,0,0
2018-10-22,5,13
2018-10-23,2,8
2018-10-24,3,8
2018-10-25,0,12
2018-10-26,1,14
2018-10-27,0,0
2018-10-28,0,0
2018-10-29,1,11
2018-10-30,0,22
2018-10-31,4,15
2018-11-01,1,11
2018-11-02,2,19
2018-11-03,0,1
2018-11-04,0,0
2018-11-05,0,6
2018-11-06,1,5
2018-11-07,2,16
2018-11-08,1,9
2018-11-09,5,11
2018-11-10,0,0
2018-11-11,0,0
2018-11-12,3,31
2018-11-13,2,10
2018-11-14,3,14
2018-11-15,2,10
2018-11-16,4,13
2018-11-17,0,0
2018-11-18,0,0
2018-11-19,2,15
2018-11-20,0,11
2018-11-21,0,9
2018-11-22,1,8
2018-11-23,2,9
2018-11-24,0,1
2018-11-25,0,0
2018-11-26,0,10
2018-11-27,1,10
2018-11-28,1,13
2018-11-29,2,12
2018-11-30,0,11
2018-12-01,0,1
2018-12-02,0,0
2018-12-03,2,14
2018-12-04,1,13
2018-12-05,4,21
2018-12-06,3,12
2018-12-07,2,9
2018-12-08,0,0
2018-12-09,0,0
2018-12-10,1,15
2018-12-11,1,17
2018-12-12,3,18
2018-12-13,1,18
2018-12-14,3,9
2018-12-15,0,0
2018-12-16,0,0
2018-12-17,3,16
2018-12-18,2,32
2018-12-19,4,17
2018-12-20,3,20
2018-12-21,3,21
2018-12-22,1,2
2018-12-23,0,0
2018-12-24,0,35
2018-12-25,0,1
2018-12-26,0,0
2018-12-27,2,15
2018-12-28,1,7
2018-12-29,0,0
2018-12-30,0,0
2018-12-31,1,10
2019-01-01,0,1
2019-01-02,4,17
2019-01-03,3,13
2019-01-04,0,10
2019-01-05,0,0
2019-01-06,1,2
2019-01-07,7,22
2019-01-08,3,41
2019-01-09,3,14
2019-01-10,4,28
2019-01-11,1,18
2019-01-12,0,0
2019-01-13,0,0
2019-01-14,6,21
2019-01-15,2,16
2019-01-16,0,16
2019-01-17,3,13
2019-01-18,1,12
2019-01-19,0,0
2019-01-20,0,0
2019-01-21,3,20
2019-01-22,3,20
2019-01-23,3,31
2019-01-24,3,16
2019-01-25,2,19
2019-01-26,0,2
2019-01-27,0,0
2019-01-28,3,18
2019-01-29,0,14
2019-01-30,3,14
2019-01-31,1,15
2019-02-01,0,14
2019-02-02,0,0
2019-02-03,1,1
2019-02-04,2,12
2019-02-05,0,14
2019-02-06,2,12
2019-02-07,3,16
2019-02-08,0,13
2019-02-09,0,2
2019-02-10,0,0
2019-02-11,3,26
2019-02-12,5,17
2019-02-13,4,13
2019-02-14,3,17
2019-02-15,1,14
2019-02-16,0,0
2019-02-17,0,0
2019-02-18,0,15
2019-02-19,2,15
2019-02-20,0,8
2019-02-21,1,28
2019-02-22,1,11
2019-02-23,0,0
2019-02-24,0,0
2019-02-25,1,15
2019-02-26,2,14
2019-02-27,2,18
2019-02-28,3,15
2019-03-01,0,16
2019-03-02,0,0
2019-03-03,1,1
2019-03-04,2,15
2019-03-05,0,17
2019-03-06,5,16
2019-03-07,1,23
2019-03-08,0,3
2019-03-09,1,1
2019-03-10,0,0
2019-03-11,2,15
2019-03-12,2,11
2019-03-13,0,9
2019-03-14,1,8
2019-03-15,2,10
2019-03-16,0,0
2019-03-17,0,0
2019-03-18,3,12
2019-03-19,3,23
2019-03-20,2,16
2019-03-21,2,9
2019-03-22,0,8
2019-03-23,0,0
2019-03-24,0,0
2019-03-25,2,14
2019-03-26,2,13
2019-03-27,2,14
2019-03-28,0,16
2019-03-29,0,14
2019-03-30,0,1
2019-03-31,0,0
2019-04-01,5,20
2019-04-02,1,12
2019-04-03,3,24
2019-04-04,5,12
2019-04-05,2,10
2019-04-06,0,1
2019-04-07,0,0
2019-04-08,5,32
2019-04-09,1,17
2019-04-10,1,21
2019-04-11,2,12
2019-04-12,2,9
2019-04-13,0,0
2019-04-14,0,1
2019-04-15,4,12
2019-04-16,3,11
2019-04-17,2,6
2019-04-18,2,11
2019-04-19,0,0
2019-04-20,0,0
2019-04-21,0,0
2019-04-22,0,1
2019-04-23,1,16
2019-04-24,4,15
2019-04-25,2,14
2019-04-26,5,9
2019-04-27,0,0
2019-04-28,0,0
2019-04-29,1,20
2019-04-30,5,16
2019-05-01,3,16
2019-05-02,0,2
2019-05-03,2,10
2019-05-04,0,0
2019-05-05,0,0
2019-05-06,0,1
2019-05-07,3,16
2019-05-08,2,16
2019-05-09,2,10
2019-05-10,3,11
2019-05-11,0,0
2019-05-12,0,0
2019-05-13,1,15
2019-05-14,2,14
2019-05-15,3,11
2019-05-16,8,26
2019-05-17,5,23
2019-05-18,0,0
2019-05-19,0,0
2019-05-20,4,24
2019-05-21,2,16
2019-05-22,3,19
2019-05-23,2,15
2019-05-24,0,6
2019-05-25,0,0
2019-05-26,0,1
2019-05-27,0,1
2019-05-28,1,14
2019-05-29,1,13
2019-05-30,3,14
2019-05-31,0,11
2019-06-01,0,0
2019-06-02,0,0
2019-06-03,1,18
2019-06-04,2,10
2019-06-05,1,17
2019-06-06,3,15
2019-06-07,0,13
2019-06-08,0,2
2019-06-09,0,1
2019-06-10,1,15
2019-06-11,3,26
2019-06-12,2,20
2019-06-13,4,14
2019-06-14,0,10
2019-06-15,0,1
2019-06-16,0,0
2019-06-17,2,20
2019-06-18,1,26
2019-06-19,1,12
2019-06-20,3,21
2019-06-21,3,12
2019-06-22,1,1
2019-06-23,0,0
2019-06-24,3,22
2019-06-25,3,16
2019-06-26,3,15
2019-06-27,2,16
2019-06-28,1,6
2019-06-29,0,0
2019-06-30,0,1
2019-07-01,2,22
2019-07-02,2,13
2019-07-03,0,22
2019-07-04,0,14
2019-07-05,1,16
2019-07-06,0,0
2019-07-07,0,0
2019-07-08,5,29
2019-07-09,0,10
2019-07-10,2,15
2019-07-11,2,29
2019-07-12,7,13
2019-07-13,0,0
2019-07-14,0,1
2019-07-15,2,21
2019-07-16,4,20
2019-07-17,1,14
2019-07-18,0,11
2019-07-19,0,3
2019-07-20,0,0
2019-07-21,0,0
2019-07-22,1,32
2019-07-23,1,14
2019-07-24,3,9
2019-07-25,0,4
2019-07-26,0,7
2019-07-27,0,0
2019-07-28,0,0
2019-07-29,3,20
2019-07-30,0,14
2019-07-31,1,10
2019-08-01,3,16
2019-08-02,2,10
2019-08-03,0,0
2019-08-04,0,0
2019-08-05,2,34
2019-08-06,3,10
2019-08-07,0,12
2019-08-08,4,21
2019-08-09,0,16
2019-08-10,0,0
2019-08-11,0,0
2019-08-12,3,21
2019-08-13,1,18
2019-08-14,2,13
2019-08-15,0,25
2019-08-16,1,11
2019-08-17,1,2
2019-08-18,0,0
2019-08-19,3,10
2019-08-20,0,18
2019-08-21,4,13
2019-08-22,0,13
2019-08-23,0,8
2019-08-24,0,1
2019-08-25,1,1
2019-08-26,0,0
2019-08-27,2,16
2019-08-28,4,10
2019-08-29,3,16
2019-08-30,2,8
2019-08-31,0,0
2019-09-01,0,0
2019-09-02,5,21
2019-09-03,3,15
2019-09-04,0,14
2019-09-05,2,16
2019-09-06,1,15
2019-09-07,0,0
2019-09-08,1,2
2019-09-09,3,18
2019-09-10,1,12
2019-09-11,1,10
2019-09-12,3,5
2019-09-13,1,10
2019-09-14,0,0
2019-09-15,0,0
2019-09-16,4,38
2019-09-17,5,24
2019-09-18,2,17
2019-09-19,0,5
2019-09-20,1,8
2019-09-21,0,1
2019-09-22,0,0
2019-09-23,2,22
2019-09-24,5,15
2019-09-25,2,17
2019-09-26,2,18
2019-09-27,4,10
2019-09-28,1,1
2019-09-29,0,0
2019-09-30,4,19
2019-10-01,8,23
2019-10-02,2,12
2019-10-03,2,21
2019-10-04,2,15
2019-10-05,0,0
2019-10-06,0,0
2019-10-07,4,19
2019-10-08,1,15
2019-10-09,1,12
2019-10-10,6,27
2019-10-11,2,13
2019-10-12,1,1
2019-10-13,0,0
2019-10-14,2,34
2019-10-15,3,23
2019-10-16,0,11
2019-10-17,2,16
2019-10-18,3,10
2019-10-19,0,0
2019-10-20,0,0
2019-10-21,2,23
2019-10-22,3,21
2019-10-23,4,14
2019-10-24,3,12
2019-10-25,2,7
2019-10-26,2,2
2019-10-27,0,1
2019-10-28,3,17
2019-10-29,5,20
2019-10-30,1,11
2019-10-31,4,10
2019-11-01,4,14
2019-11-02,0,0
2019-11-03,0,1
2019-11-04,1,12
2019-11-05,0,10
2019-11-06,6,19
2019-11-07,5,16
2019-11-08,1,10
2019-11-09,0,0
2019-11-10,1,1
2019-11-11,2,9
2019-11-12,1,11
2019-11-13,2,11
2019-11-14,1,15
2019-11-15,1,7
2019-11-16,0,0
2019-11-17,0,0
2019-11-18,2,14
2019-11-19,3,16
2019-11-20,0,6
2019-11-21,2,11
2019-11-22,1,10
2019-11-23,0,0
2019-11-24,0,0
2019-11-25,3,18
2019-11-26,4,16
2019-11-27,4,16
2019-11-28,1,11
2019-11-29,4,13
2019-11-30,1,1
2019-12-01,0,0
2019-12-02,3,12
2019-12-03,4,13
2019-12-04,1,8
2019-12-05,2,27
2019-12-06,0,9
2019-12-07,0,0
2019-12-08,1,2
2019-12-09,5,21
2019-12-10,2,20
2019-12-11,1,9
2019-12-12,4,33
2019-12-13,0,6
2019-12-14,0,0
2019-12-15,0,0
2019-12-16,2,12
2019-12-17,3,16
2019-12-18,3,11
2019-12-19,3,27
2019-12-20,4,13
2019-12-21,0,0
2019-12-22,0,1
2019-12-23,1,9
2019-12-24,2,5
2019-12-25,0,1
2019-12-26,0,1
2019-12-27,1,8
2019-12-28,0,1
2019-12-29,0,0
2019-12-30,4,9
2019-12-31,0,8
2020-01-01,1,1
2020-01-02,2,12
2020-01-03,0,12
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,4,14
2020-01-07,4,36
2020-01-08,2,15
2020-01-09,6,15
2020-01-10,4,17
2020-01-11,1,2
2020-01-12,0,0
2020-01-13,3,21
2020-01-14,6,22
2020-01-15,1,6
2020-01-16,1,12
2020-01-17,0,4
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,1,11
2020-01-21,1,16
2020-01-22,2,6
2020-01-23,2,5
2020-01-24,3,10
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,2,9
2020-01-28,1,11
2020-01-29,5,7
2020-01-30,5,8
2020-01-31,3,5
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,2,5
2020-02-04,2,8
2020-02-05,2,4
2020-02-06,2,6
2020-02-07,1,3
2020-02-08,0,0
2020-02-09,0,2
2020-02-10,3,7
2020-02-11,2,3
2020-02-12,1,3
2020-02-13,3,9
2020-02-14,2,8
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,9
2020-02-18,2,6
2020-02-19,2,9
2020-02-20,0,1
2020-02-21,1,3
2020-02-22,0,0
2020-02-23,0,1
2020-02-24,4,15
2020-02-25,3,10
2020-02-26,2,6
2020-02-27,1,2
2020-02-28,2,8
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,1,10
2020-03-03,2,2
2020-03-04,2,3
2020-03-05,0,6
2020-03-06,0,3
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,4
2020-03-10,0,3
2020-03-11,0,3
2020-03-12,3,5
2020-03-13,1,2
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,1
2020-03-17,1,1
2020-03-18,0,2
2020-03-19,4,5
2020-03-20,0,2
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,2,3
2020-03-24,1,5
2020-03-25,0,1
2020-03-26,2,3
2020-03-27,1,1
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,1,5
2020-03-31,0,3
2020-04-01,3,7
2020-04-02,2,3
2020-04-03,1,1
2020-04-04,0,1
2020-04-05,0,0
2020-04-06,1,9
2020-04-07,0,8
2020-04-08,0,1
2020-04-09,1,4
2020-04-10,0,0
2020-04-11,0,0
2020-04-12,0,0
2020-04-13,1,6
2020-04-14,2,5
2020-04-15,2,2
2020-04-16,1,2
2020-04-17,1,2
2020-04-18,0,0
2020-04-19,0,1
2020-04-20,0,0
2020-04-21,0,3
2020-04-22,0,2
2020-04-23,0,6
2020-04-24,0,1
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,0,10
2020-04-28,1,5
2020-04-29,1,12
2020-04-30,1,5
2020-05-01,0,3
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,0,4
2020-05-05,0,2
2020-05-06,1,2
2020-05-07,0,0
2020-05-08,0,2
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,0,0
2020-05-12,0,0
2020-05-13,0,0
