Date,IncidenceOfDepression,PrevalenceOfDepression
2018-06-22,10,105
2018-06-23,0,1
2018-06-24,0,1
2018-06-25,19,109
2018-06-26,12,83
2018-06-27,14,91
2018-06-28,13,103
2018-06-29,13,85
2018-06-30,1,2
2018-07-01,1,3
2018-07-02,11,85
2018-07-03,15,93
2018-07-04,19,90
2018-07-05,16,112
2018-07-06,10,83
2018-07-07,0,3
2018-07-08,0,0
2018-07-09,19,97
2018-07-10,21,97
2018-07-11,15,99
2018-07-12,16,100
2018-07-13,14,86
2018-07-14,0,2
2018-07-15,1,3
2018-07-16,20,122
2018-07-17,20,103
2018-07-18,22,101
2018-07-19,18,118
2018-07-20,15,81
2018-07-21,1,3
2018-07-22,0,1
2018-07-23,18,118
2018-07-24,19,134
2018-07-25,17,104
2018-07-26,26,115
2018-07-27,16,88
2018-07-28,1,1
2018-07-29,0,2
2018-07-30,17,90
2018-07-31,11,122
2018-08-01,14,86
2018-08-02,15,102
2018-08-03,8,77
2018-08-04,0,2
2018-08-05,0,1
2018-08-06,11,93
2018-08-07,16,102
2018-08-08,16,91
2018-08-09,16,108
2018-08-10,7,97
2018-08-11,0,3
2018-08-12,1,1
2018-08-13,15,116
2018-08-14,10,100
2018-08-15,12,95
2018-08-16,10,108
2018-08-17,12,114
2018-08-18,1,1
2018-08-19,0,0
2018-08-20,17,106
2018-08-21,20,117
2018-08-22,10,93
2018-08-23,8,111
2018-08-24,13,94
2018-08-25,0,0
2018-08-26,0,0
2018-08-27,0,0
2018-08-28,19,106
2018-08-29,13,106
2018-08-30,16,117
2018-08-31,15,115
2018-09-01,0,2
2018-09-02,1,2
2018-09-03,14,117
2018-09-04,18,112
2018-09-05,12,118
2018-09-06,23,111
2018-09-07,12,97
2018-09-08,4,6
2018-09-09,0,0
2018-09-10,16,113
2018-09-11,17,132
2018-09-12,12,100
2018-09-13,21,114
2018-09-14,11,98
2018-09-15,1,4
2018-09-16,1,1
2018-09-17,15,109
2018-09-18,14,117
2018-09-19,19,110
2018-09-20,12,109
2018-09-21,14,97
2018-09-22,0,1
2018-09-23,1,3
2018-09-24,14,118
2018-09-25,19,115
2018-09-26,12,114
2018-09-27,17,112
2018-09-28,22,105
2018-09-29,0,4
2018-09-30,0,1
2018-10-01,28,122
2018-10-02,21,121
2018-10-03,14,123
2018-10-04,26,118
2018-10-05,13,104
2018-10-06,1,2
2018-10-07,1,2
2018-10-08,24,117
2018-10-09,16,141
2018-10-10,16,121
2018-10-11,17,118
2018-10-12,16,120
2018-10-13,2,3
2018-10-14,0,1
2018-10-15,22,150
2018-10-16,13,115
2018-10-17,18,108
2018-10-18,21,123
2018-10-19,22,106
2018-10-20,1,4
2018-10-21,0,1
2018-10-22,14,109
2018-10-23,19,120
2018-10-24,12,102
2018-10-25,8,109
2018-10-26,15,111
2018-10-27,0,2
2018-10-28,1,1
2018-10-29,24,118
2018-10-30,16,103
2018-10-31,17,110
2018-11-01,19,119
2018-11-02,19,109
2018-11-03,0,0
2018-11-04,0,2
2018-11-05,25,109
2018-11-06,17,119
2018-11-07,16,121
2018-11-08,20,121
2018-11-09,20,102
2018-11-10,0,1
2018-11-11,1,3
2018-11-12,15,115
2018-11-13,13,134
2018-11-14,19,122
2018-11-15,18,133
2018-11-16,17,96
2018-11-17,0,3
2018-11-18,0,3
2018-11-19,21,124
2018-11-20,27,125
2018-11-21,13,105
2018-11-22,14,107
2018-11-23,20,108
2018-11-24,1,5
2018-11-25,1,2
2018-11-26,19,137
2018-11-27,11,90
2018-11-28,18,121
2018-11-29,15,147
2018-11-30,17,120
2018-12-01,1,4
2018-12-02,0,3
2018-12-03,21,131
2018-12-04,21,143
2018-12-05,17,122
2018-12-06,18,129
2018-12-07,16,128
2018-12-08,1,3
2018-12-09,0,3
2018-12-10,17,108
2018-12-11,12,128
2018-12-12,23,135
2018-12-13,19,142
2018-12-14,15,96
2018-12-15,1,1
2018-12-16,0,0
2018-12-17,20,110
2018-12-18,15,115
2018-12-19,17,105
2018-12-20,15,122
2018-12-21,8,102
2018-12-22,2,3
2018-12-23,0,1
2018-12-24,6,37
2018-12-25,0,0
2018-12-26,1,1
2018-12-27,12,67
2018-12-28,8,88
2018-12-29,0,1
2018-12-30,0,2
2018-12-31,7,60
2019-01-01,1,4
2019-01-02,9,83
2019-01-03,20,113
2019-01-04,18,89
2019-01-05,0,3
2019-01-06,0,2
2019-01-07,26,134
2019-01-08,22,121
2019-01-09,15,131
2019-01-10,13,140
2019-01-11,15,103
2019-01-12,1,2
2019-01-13,0,4
2019-01-14,13,131
2019-01-15,23,124
2019-01-16,14,115
2019-01-17,20,115
2019-01-18,15,116
2019-01-19,1,5
2019-01-20,0,2
2019-01-21,15,117
2019-01-22,24,114
2019-01-23,17,109
2019-01-24,20,96
2019-01-25,20,109
2019-01-26,1,2
2019-01-27,0,1
2019-01-28,16,125
2019-01-29,19,124
2019-01-30,12,103
2019-01-31,14,119
2019-02-01,21,122
2019-02-02,1,3
2019-02-03,0,0
2019-02-04,16,102
2019-02-05,25,134
2019-02-06,18,114
2019-02-07,14,131
2019-02-08,20,102
2019-02-09,1,5
2019-02-10,0,0
2019-02-11,22,120
2019-02-12,17,104
2019-02-13,21,103
2019-02-14,17,122
2019-02-15,10,89
2019-02-16,1,3
2019-02-17,0,2
2019-02-18,18,110
2019-02-19,20,107
2019-02-20,13,114
2019-02-21,8,109
2019-02-22,19,82
2019-02-23,2,3
2019-02-24,0,0
2019-02-25,24,118
2019-02-26,15,115
2019-02-27,17,108
2019-02-28,10,125
2019-03-01,15,118
2019-03-02,0,2
2019-03-03,0,3
2019-03-04,14,108
2019-03-05,19,134
2019-03-06,18,111
2019-03-07,16,111
2019-03-08,29,136
2019-03-09,2,5
2019-03-10,1,2
2019-03-11,14,129
2019-03-12,18,118
2019-03-13,27,126
2019-03-14,22,133
2019-03-15,20,107
2019-03-16,0,3
2019-03-17,0,0
2019-03-18,14,112
2019-03-19,29,141
2019-03-20,18,133
2019-03-21,20,131
2019-03-22,22,114
2019-03-23,1,3
2019-03-24,1,2
2019-03-25,20,114
2019-03-26,22,129
2019-03-27,22,107
2019-03-28,23,134
2019-03-29,19,126
2019-03-30,0,4
2019-03-31,0,4
2019-04-01,25,124
2019-04-02,21,124
2019-04-03,20,101
2019-04-04,10,104
2019-04-05,20,110
2019-04-06,0,2
2019-04-07,1,2
2019-04-08,19,106
2019-04-09,11,89
2019-04-10,16,96
2019-04-11,17,96
2019-04-12,8,86
2019-04-13,1,4
2019-04-14,1,2
2019-04-15,16,122
2019-04-16,15,106
2019-04-17,21,111
2019-04-18,18,104
2019-04-19,0,0
2019-04-20,2,2
2019-04-21,0,1
2019-04-22,0,0
2019-04-23,13,106
2019-04-24,13,101
2019-04-25,14,152
2019-04-26,15,110
2019-04-27,2,5
2019-04-28,0,1
2019-04-29,16,112
2019-04-30,22,135
2019-05-01,16,112
2019-05-02,16,127
2019-05-03,20,107
2019-05-04,1,1
2019-05-05,0,3
2019-05-06,0,1
2019-05-07,31,150
2019-05-08,13,115
2019-05-09,18,133
2019-05-10,14,104
2019-05-11,0,3
2019-05-12,1,3
2019-05-13,14,136
2019-05-14,19,134
2019-05-15,18,112
2019-05-16,18,114
2019-05-17,16,107
2019-05-18,0,3
2019-05-19,2,6
2019-05-20,17,131
2019-05-21,10,83
2019-05-22,16,123
2019-05-23,12,137
2019-05-24,18,115
2019-05-25,0,2
2019-05-26,0,2
2019-05-27,1,1
2019-05-28,15,109
2019-05-29,14,120
2019-05-30,19,137
2019-05-31,13,104
2019-06-01,1,4
2019-06-02,0,1
2019-06-03,16,142
2019-06-04,12,98
2019-06-05,20,119
2019-06-06,20,150
2019-06-07,19,109
2019-06-08,1,1
2019-06-09,1,2
2019-06-10,21,126
2019-06-11,21,144
2019-06-12,24,149
2019-06-13,16,130
2019-06-14,17,104
2019-06-15,1,3
2019-06-16,0,5
2019-06-17,25,135
2019-06-18,10,98
2019-06-19,15,106
2019-06-20,21,126
2019-06-21,16,116
2019-06-22,2,3
2019-06-23,1,2
2019-06-24,17,107
2019-06-25,22,131
2019-06-26,14,103
2019-06-27,20,106
2019-06-28,12,92
2019-06-29,0,0
2019-06-30,0,2
2019-07-01,13,106
2019-07-02,17,110
2019-07-03,20,127
2019-07-04,18,127
2019-07-05,18,106
2019-07-06,1,3
2019-07-07,0,1
2019-07-08,12,121
2019-07-09,9,110
2019-07-10,25,132
2019-07-11,19,94
2019-07-12,15,113
2019-07-13,0,0
2019-07-14,0,0
2019-07-15,15,109
2019-07-16,13,109
2019-07-17,14,111
2019-07-18,25,130
2019-07-19,9,102
2019-07-20,0,4
2019-07-21,1,2
2019-07-22,20,123
2019-07-23,15,108
2019-07-24,11,98
2019-07-25,13,100
2019-07-26,16,95
2019-07-27,0,3
2019-07-28,0,0
2019-07-29,13,128
2019-07-30,13,116
2019-07-31,25,131
2019-08-01,12,116
2019-08-02,22,118
2019-08-03,0,3
2019-08-04,0,0
2019-08-05,11,106
2019-08-06,21,118
2019-08-07,15,117
2019-08-08,19,93
2019-08-09,19,105
2019-08-10,1,4
2019-08-11,0,0
2019-08-12,9,116
2019-08-13,13,108
2019-08-14,14,94
2019-08-15,11,118
2019-08-16,11,92
2019-08-17,0,1
2019-08-18,1,1
2019-08-19,19,112
2019-08-20,23,126
2019-08-21,15,113
2019-08-22,7,90
2019-08-23,6,71
2019-08-24,0,1
2019-08-25,1,1
2019-08-26,0,1
2019-08-27,13,117
2019-08-28,16,108
2019-08-29,18,111
2019-08-30,16,102
2019-08-31,1,6
2019-09-01,2,4
2019-09-02,15,119
2019-09-03,15,126
2019-09-04,7,117
2019-09-05,12,116
2019-09-06,19,88
2019-09-07,0,1
2019-09-08,0,0
2019-09-09,20,118
2019-09-10,20,104
2019-09-11,16,107
2019-09-12,20,135
2019-09-13,14,104
2019-09-14,2,3
2019-09-15,0,0
2019-09-16,18,107
2019-09-17,15,132
2019-09-18,15,118
2019-09-19,13,98
2019-09-20,14,92
2019-09-21,0,1
2019-09-22,0,2
2019-09-23,13,108
2019-09-24,23,142
2019-09-25,19,131
2019-09-26,15,108
2019-09-27,10,104
2019-09-28,1,2
2019-09-29,0,5
2019-09-30,17,117
2019-10-01,17,110
2019-10-02,20,108
2019-10-03,20,110
2019-10-04,14,83
2019-10-05,3,4
2019-10-06,0,0
2019-10-07,14,119
2019-10-08,26,128
2019-10-09,17,107
2019-10-10,16,128
2019-10-11,22,90
2019-10-12,1,4
2019-10-13,2,7
2019-10-14,24,141
2019-10-15,18,134
2019-10-16,17,118
2019-10-17,15,108
2019-10-18,28,97
2019-10-19,1,5
2019-10-20,1,4
2019-10-21,16,123
2019-10-22,16,117
2019-10-23,18,114
2019-10-24,17,100
2019-10-25,9,77
2019-10-26,1,3
2019-10-27,1,3
2019-10-28,23,140
2019-10-29,16,123
2019-10-30,16,113
2019-10-31,15,131
2019-11-01,17,95
2019-11-02,1,2
2019-11-03,0,2
2019-11-04,25,145
2019-11-05,16,88
2019-11-06,23,131
2019-11-07,15,110
2019-11-08,11,95
2019-11-09,0,6
2019-11-10,1,5
2019-11-11,26,120
2019-11-12,23,132
2019-11-13,20,90
2019-11-14,22,142
2019-11-15,15,99
2019-11-16,1,2
2019-11-17,0,1
2019-11-18,14,101
2019-11-19,25,124
2019-11-20,21,121
2019-11-21,12,115
2019-11-22,17,87
2019-11-23,1,6
2019-11-24,1,2
2019-11-25,20,109
2019-11-26,26,140
2019-11-27,24,129
2019-11-28,17,113
2019-11-29,19,96
2019-11-30,2,7
2019-12-01,0,0
2019-12-02,14,107
2019-12-03,17,112
2019-12-04,19,122
2019-12-05,13,101
2019-12-06,17,102
2019-12-07,0,0
2019-12-08,2,4
2019-12-09,19,97
2019-12-10,28,133
2019-12-11,13,107
2019-12-12,17,121
2019-12-13,11,92
2019-12-14,0,0
2019-12-15,0,2
2019-12-16,15,90
2019-12-17,23,124
2019-12-18,12,120
2019-12-19,12,122
2019-12-20,16,92
2019-12-21,1,5
2019-12-22,0,1
2019-12-23,21,88
2019-12-24,5,35
2019-12-25,0,0
2019-12-26,0,2
2019-12-27,9,54
2019-12-28,0,1
2019-12-29,0,1
2019-12-30,17,91
2019-12-31,11,70
2020-01-01,0,1
2020-01-02,8,102
2020-01-03,15,98
2020-01-04,0,0
2020-01-05,1,2
2020-01-06,23,135
2020-01-07,13,114
2020-01-08,23,138
2020-01-09,29,120
2020-01-10,9,94
2020-01-11,1,1
2020-01-12,0,4
2020-01-13,22,144
2020-01-14,14,122
2020-01-15,16,118
2020-01-16,19,129
2020-01-17,6,88
2020-01-18,0,3
2020-01-19,0,2
2020-01-20,17,101
2020-01-21,32,115
2020-01-22,17,98
2020-01-23,16,106
2020-01-24,12,97
2020-01-25,1,6
2020-01-26,0,3
2020-01-27,20,128
2020-01-28,16,110
2020-01-29,25,125
2020-01-30,14,108
2020-01-31,14,95
2020-02-01,2,4
2020-02-02,3,8
2020-02-03,24,136
2020-02-04,14,113
2020-02-05,17,124
2020-02-06,16,112
2020-02-07,13,81
2020-02-08,1,3
2020-02-09,0,3
2020-02-10,19,111
2020-02-11,20,108
2020-02-12,14,117
2020-02-13,16,130
2020-02-14,16,90
2020-02-15,4,5
2020-02-16,1,4
2020-02-17,16,127
2020-02-18,22,124
2020-02-19,14,113
2020-02-20,23,113
2020-02-21,15,95
2020-02-22,4,5
2020-02-23,0,3
2020-02-24,15,103
2020-02-25,21,114
2020-02-26,19,99
2020-02-27,21,130
2020-02-28,18,101
2020-02-29,1,4
2020-03-01,1,2
2020-03-02,19,114
2020-03-03,12,124
2020-03-04,16,109
2020-03-05,3,53
2020-03-06,8,46
2020-03-07,0,1
2020-03-08,0,0
2020-03-09,11,63
2020-03-10,7,57
2020-03-11,13,105
2020-03-12,20,100
2020-03-13,8,79
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,3,63
2020-03-17,8,61
2020-03-18,8,64
2020-03-19,6,56
2020-03-20,6,49
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,8,55
2020-03-24,10,60
2020-03-25,7,51
2020-03-26,7,54
2020-03-27,2,42
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,2,48
2020-03-31,9,56
2020-04-01,1,46
2020-04-02,6,52
2020-04-03,5,40
2020-04-04,0,1
2020-04-05,0,0
2020-04-06,4,42
2020-04-07,2,39
2020-04-08,7,32
2020-04-09,3,51
2020-04-10,3,18
2020-04-11,0,0
2020-04-12,0,0
2020-04-13,0,16
2020-04-14,3,49
2020-04-15,3,34
2020-04-16,4,48
2020-04-17,6,48
2020-04-18,0,1
2020-04-19,0,0
2020-04-20,5,64
2020-04-21,9,72
2020-04-22,4,48
2020-04-23,8,50
2020-04-24,5,40
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,8,60
2020-04-28,9,61
2020-04-29,10,51
2020-04-30,3,72
2020-05-01,7,59
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,6,56
2020-05-05,9,73
2020-05-06,4,52
2020-05-07,5,49
2020-05-08,5,12
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,0,0
2020-05-12,0,0
2020-05-13,0,0
