Date,IncidenceOfAntipsychotics,PrevalenceOfAntipsychotics
2018-06-20,11,326
2018-06-21,10,318
2018-06-22,8,293
2018-06-23,0,3
2018-06-24,0,3
2018-06-25,4,408
2018-06-26,5,367
2018-06-27,8,345
2018-06-28,5,294
2018-06-29,5,322
2018-06-30,0,3
2018-07-01,0,4
2018-07-02,9,443
2018-07-03,8,356
2018-07-04,8,359
2018-07-05,10,309
2018-07-06,9,305
2018-07-07,0,7
2018-07-08,0,4
2018-07-09,9,419
2018-07-10,6,353
2018-07-11,7,296
2018-07-12,13,296
2018-07-13,7,294
2018-07-14,0,4
2018-07-15,0,13
2018-07-16,9,407
2018-07-17,7,356
2018-07-18,6,338
2018-07-19,8,264
2018-07-20,6,284
2018-07-21,0,3
2018-07-22,0,5
2018-07-23,10,459
2018-07-24,11,380
2018-07-25,8,323
2018-07-26,8,270
2018-07-27,5,313
2018-07-28,0,6
2018-07-29,0,4
2018-07-30,8,422
2018-07-31,9,344
2018-08-01,13,299
2018-08-02,7,303
2018-08-03,9,302
2018-08-04,0,4
2018-08-05,0,4
2018-08-06,2,405
2018-08-07,3,340
2018-08-08,3,299
2018-08-09,7,295
2018-08-10,5,299
2018-08-11,1,5
2018-08-12,0,12
2018-08-13,9,401
2018-08-14,14,376
2018-08-15,6,270
2018-08-16,10,274
2018-08-17,4,285
2018-08-18,0,3
2018-08-19,0,2
2018-08-20,8,438
2018-08-21,12,378
2018-08-22,10,326
2018-08-23,6,312
2018-08-24,6,302
2018-08-25,0,4
2018-08-26,0,5
2018-08-27,0,160
2018-08-28,7,420
2018-08-29,7,337
2018-08-30,1,313
2018-08-31,7,291
2018-09-01,0,4
2018-09-02,1,13
2018-09-03,14,416
2018-09-04,7,344
2018-09-05,9,340
2018-09-06,7,295
2018-09-07,7,300
2018-09-08,1,6
2018-09-09,0,3
2018-09-10,7,375
2018-09-11,7,383
2018-09-12,8,309
2018-09-13,9,325
2018-09-14,11,301
2018-09-15,0,6
2018-09-16,0,3
2018-09-17,5,408
2018-09-18,14,383
2018-09-19,5,283
2018-09-20,7,354
2018-09-21,9,275
2018-09-22,0,4
2018-09-23,0,8
2018-09-24,10,433
2018-09-25,5,355
2018-09-26,12,310
2018-09-27,10,311
2018-09-28,12,287
2018-09-29,0,10
2018-09-30,1,8
2018-10-01,5,424
2018-10-02,6,340
2018-10-03,4,310
2018-10-04,6,308
2018-10-05,5,279
2018-10-06,0,4
2018-10-07,0,3
2018-10-08,6,413
2018-10-09,8,323
2018-10-10,4,329
2018-10-11,8,318
2018-10-12,8,303
2018-10-13,1,8
2018-10-14,0,4
2018-10-15,10,397
2018-10-16,15,330
2018-10-17,6,285
2018-10-18,5,291
2018-10-19,12,327
2018-10-20,0,2
2018-10-21,0,6
2018-10-22,11,433
2018-10-23,8,354
2018-10-24,7,321
2018-10-25,8,291
2018-10-26,5,273
2018-10-27,0,8
2018-10-28,0,4
2018-10-29,8,422
2018-10-30,6,339
2018-10-31,15,335
2018-11-01,6,279
2018-11-02,7,278
2018-11-03,0,15
2018-11-04,0,5
2018-11-05,8,431
2018-11-06,7,351
2018-11-07,3,327
2018-11-08,2,334
2018-11-09,6,250
2018-11-10,0,4
2018-11-11,0,5
2018-11-12,18,448
2018-11-13,9,336
2018-11-14,8,322
2018-11-15,5,297
2018-11-16,8,279
2018-11-17,0,10
2018-11-18,0,3
2018-11-19,8,464
2018-11-20,7,342
2018-11-21,9,300
2018-11-22,8,299
2018-11-23,5,258
2018-11-24,0,11
2018-11-25,0,5
2018-11-26,10,418
2018-11-27,4,316
2018-11-28,15,299
2018-11-29,4,307
2018-11-30,7,351
2018-12-01,0,11
2018-12-02,0,6
2018-12-03,10,463
2018-12-04,7,353
2018-12-05,7,330
2018-12-06,4,342
2018-12-07,5,268
2018-12-08,0,28
2018-12-09,0,3
2018-12-10,10,433
2018-12-11,13,360
2018-12-12,11,334
2018-12-13,7,361
2018-12-14,5,293
2018-12-15,0,28
2018-12-16,0,5
2018-12-17,5,528
2018-12-18,4,364
2018-12-19,7,382
2018-12-20,8,356
2018-12-21,11,336
2018-12-22,0,17
2018-12-23,0,5
2018-12-24,9,365
2018-12-25,0,110
2018-12-26,0,119
2018-12-27,6,352
2018-12-28,3,309
2018-12-29,0,10
2018-12-30,0,4
2018-12-31,10,410
2019-01-01,1,95
2019-01-02,6,343
2019-01-03,7,311
2019-01-04,7,328
2019-01-05,0,9
2019-01-06,0,4
2019-01-07,6,461
2019-01-08,14,332
2019-01-09,8,347
2019-01-10,7,329
2019-01-11,7,325
2019-01-12,0,7
2019-01-13,0,8
2019-01-14,5,461
2019-01-15,14,314
2019-01-16,13,317
2019-01-17,5,317
2019-01-18,6,290
2019-01-19,0,8
2019-01-20,0,3
2019-01-21,15,415
2019-01-22,6,327
2019-01-23,8,316
2019-01-24,11,315
2019-01-25,9,284
2019-01-26,0,8
2019-01-27,0,3
2019-01-28,6,430
2019-01-29,8,347
2019-01-30,5,288
2019-01-31,9,318
2019-02-01,5,295
2019-02-02,0,6
2019-02-03,0,5
2019-02-04,7,441
2019-02-05,12,345
2019-02-06,9,329
2019-02-07,7,336
2019-02-08,8,308
2019-02-09,1,11
2019-02-10,0,6
2019-02-11,10,429
2019-02-12,5,357
2019-02-13,7,333
2019-02-14,10,306
2019-02-15,5,301
2019-02-16,0,15
2019-02-17,0,4
2019-02-18,4,431
2019-02-19,2,306
2019-02-20,6,305
2019-02-21,6,299
2019-02-22,3,289
2019-02-23,0,12
2019-02-24,0,3
2019-02-25,4,455
2019-02-26,11,339
2019-02-27,7,342
2019-02-28,5,314
2019-03-01,12,303
2019-03-02,0,9
2019-03-03,0,10
2019-03-04,10,459
2019-03-05,3,354
2019-03-06,7,314
2019-03-07,6,344
2019-03-08,9,292
2019-03-09,0,6
2019-03-10,0,3
2019-03-11,8,471
2019-03-12,9,341
2019-03-13,12,350
2019-03-14,8,310
2019-03-15,4,301
2019-03-16,0,9
2019-03-17,0,6
2019-03-18,8,417
2019-03-19,14,338
2019-03-20,8,338
2019-03-21,10,296
2019-03-22,10,293
2019-03-23,0,5
2019-03-24,2,6
2019-03-25,12,451
2019-03-26,9,352
2019-03-27,4,326
2019-03-28,6,315
2019-03-29,9,277
2019-03-30,1,6
2019-03-31,0,3
2019-04-01,8,460
2019-04-02,10,343
2019-04-03,9,348
2019-04-04,7,318
2019-04-05,3,270
2019-04-06,1,6
2019-04-07,0,4
2019-04-08,9,450
2019-04-09,4,363
2019-04-10,4,377
2019-04-11,8,333
2019-04-12,7,289
2019-04-13,0,7
2019-04-14,0,6
2019-04-15,11,446
2019-04-16,11,342
2019-04-17,4,381
2019-04-18,8,378
2019-04-19,0,84
2019-04-20,0,6
2019-04-21,0,4
2019-04-22,0,132
2019-04-23,2,428
2019-04-24,3,433
2019-04-25,5,338
2019-04-26,5,289
2019-04-27,0,8
2019-04-28,0,4
2019-04-29,12,427
2019-04-30,10,350
2019-05-01,6,404
2019-05-02,5,314
2019-05-03,10,318
2019-05-04,0,4
2019-05-05,1,8
2019-05-06,0,102
2019-05-07,14,495
2019-05-08,15,414
2019-05-09,9,335
2019-05-10,15,301
2019-05-11,0,5
2019-05-12,0,7
2019-05-13,12,394
2019-05-14,10,393
2019-05-15,3,322
2019-05-16,6,293
2019-05-17,12,331
2019-05-18,1,7
2019-05-19,0,6
2019-05-20,9,429
2019-05-21,6,372
2019-05-22,14,392
2019-05-23,10,340
2019-05-24,5,355
2019-05-25,1,9
2019-05-26,0,4
2019-05-27,0,114
2019-05-28,8,428
2019-05-29,5,393
2019-05-30,10,328
2019-05-31,7,293
2019-06-01,1,12
2019-06-02,1,5
2019-06-03,8,392
2019-06-04,5,370
2019-06-05,5,354
2019-06-06,6,283
2019-06-07,4,337
2019-06-08,0,8
2019-06-09,0,4
2019-06-10,8,384
2019-06-11,13,381
2019-06-12,7,294
2019-06-13,11,341
2019-06-14,11,408
2019-06-15,1,8
2019-06-16,0,3
2019-06-17,8,379
2019-06-18,7,352
2019-06-19,4,317
2019-06-20,8,304
2019-06-21,9,277
2019-06-22,1,5
2019-06-23,0,8
2019-06-24,7,378
2019-06-25,7,374
2019-06-26,11,298
2019-06-27,10,300
2019-06-28,6,243
2019-06-29,0,6
2019-06-30,0,5
2019-07-01,7,395
2019-07-02,5,364
2019-07-03,7,283
2019-07-04,9,306
2019-07-05,7,265
2019-07-06,0,5
2019-07-07,1,9
2019-07-08,12,415
2019-07-09,4,320
2019-07-10,8,321
2019-07-11,8,319
2019-07-12,8,283
2019-07-13,0,4
2019-07-14,1,9
2019-07-15,8,409
2019-07-16,10,312
2019-07-17,3,335
2019-07-18,12,299
2019-07-19,8,280
2019-07-20,0,6
2019-07-21,0,7
2019-07-22,17,402
2019-07-23,9,348
2019-07-24,4,303
2019-07-25,11,297
2019-07-26,5,258
2019-07-27,0,3
2019-07-28,0,5
2019-07-29,9,394
2019-07-30,2,306
2019-07-31,8,339
2019-08-01,8,310
2019-08-02,8,264
2019-08-03,0,4
2019-08-04,0,6
2019-08-05,6,363
2019-08-06,6,365
2019-08-07,8,279
2019-08-08,4,296
2019-08-09,9,283
2019-08-10,0,4
2019-08-11,0,6
2019-08-12,7,356
2019-08-13,10,337
2019-08-14,6,310
2019-08-15,7,294
2019-08-16,4,264
2019-08-17,0,3
2019-08-18,0,6
2019-08-19,6,382
2019-08-20,3,334
2019-08-21,6,332
2019-08-22,8,297
2019-08-23,3,266
2019-08-24,0,5
2019-08-25,0,6
2019-08-26,0,128
2019-08-27,8,389
2019-08-28,4,351
2019-08-29,11,329
2019-08-30,10,310
2019-08-31,0,7
2019-09-01,0,10
2019-09-02,9,379
2019-09-03,8,343
2019-09-04,9,323
2019-09-05,6,297
2019-09-06,15,304
2019-09-07,0,5
2019-09-08,0,5
2019-09-09,7,341
2019-09-10,9,346
2019-09-11,1,301
2019-09-12,4,272
2019-09-13,9,267
2019-09-14,0,9
2019-09-15,0,3
2019-09-16,4,359
2019-09-17,2,339
2019-09-18,10,296
2019-09-19,12,297
2019-09-20,9,297
2019-09-21,0,5
2019-09-22,0,5
2019-09-23,10,379
2019-09-24,9,305
2019-09-25,4,282
2019-09-26,8,307
2019-09-27,12,317
2019-09-28,0,9
2019-09-29,0,3
2019-09-30,14,352
2019-10-01,11,334
2019-10-02,6,306
2019-10-03,5,284
2019-10-04,12,270
2019-10-05,0,7
2019-10-06,0,7
2019-10-07,6,407
2019-10-08,7,294
2019-10-09,6,360
2019-10-10,5,304
2019-10-11,5,260
2019-10-12,0,3
2019-10-13,1,17
2019-10-14,10,404
2019-10-15,5,291
2019-10-16,5,330
2019-10-17,9,319
2019-10-18,11,321
2019-10-19,0,6
2019-10-20,0,6
2019-10-21,8,362
2019-10-22,6,303
2019-10-23,7,285
2019-10-24,11,315
2019-10-25,9,260
2019-10-26,0,4
2019-10-27,0,15
2019-10-28,9,380
2019-10-29,11,322
2019-10-30,8,327
2019-10-31,9,316
2019-11-01,21,287
2019-11-02,0,3
2019-11-03,0,5
2019-11-04,7,369
2019-11-05,6,303
2019-11-06,6,317
2019-11-07,6,284
2019-11-08,8,279
2019-11-09,1,36
2019-11-10,0,5
2019-11-11,4,380
2019-11-12,11,350
2019-11-13,4,300
2019-11-14,8,290
2019-11-15,8,275
2019-11-16,0,19
2019-11-17,0,5
2019-11-18,9,359
2019-11-19,6,328
2019-11-20,6,303
2019-11-21,4,272
2019-11-22,9,280
2019-11-23,0,5
2019-11-24,0,5
2019-11-25,6,378
2019-11-26,7,338
2019-11-27,10,294
2019-11-28,6,308
2019-11-29,8,261
2019-11-30,0,11
2019-12-01,0,3
2019-12-02,8,389
2019-12-03,8,312
2019-12-04,8,305
2019-12-05,8,320
2019-12-06,6,306
2019-12-07,0,6
2019-12-08,0,3
2019-12-09,9,370
2019-12-10,11,378
2019-12-11,5,294
2019-12-12,4,316
2019-12-13,3,287
2019-12-14,1,16
2019-12-15,0,11
2019-12-16,9,412
2019-12-17,5,413
2019-12-18,7,370
2019-12-19,12,364
2019-12-20,6,306
2019-12-21,0,5
2019-12-22,0,11
2019-12-23,1,380
2019-12-24,6,289
2019-12-25,0,100
2019-12-26,0,106
2019-12-27,4,288
2019-12-28,0,2
2019-12-29,0,8
2019-12-30,7,406
2019-12-31,5,306
2020-01-01,0,80
2020-01-02,10,288
2020-01-03,6,290
2020-01-04,0,3
2020-01-05,0,5
2020-01-06,8,437
2020-01-07,5,415
2020-01-08,6,321
2020-01-09,8,282
2020-01-10,7,292
2020-01-11,0,5
2020-01-12,0,7
2020-01-13,6,398
2020-01-14,10,300
2020-01-15,3,280
2020-01-16,4,278
2020-01-17,11,291
2020-01-18,0,4
2020-01-19,0,15
2020-01-20,6,377
2020-01-21,13,318
2020-01-22,6,283
2020-01-23,2,273
2020-01-24,11,285
2020-01-25,0,5
2020-01-26,0,16
2020-01-27,8,400
2020-01-28,8,312
2020-01-29,5,273
2020-01-30,9,259
2020-01-31,9,284
2020-02-01,0,3
2020-02-02,0,9
2020-02-03,7,382
2020-02-04,8,347
2020-02-05,7,292
2020-02-06,4,282
2020-02-07,5,267
2020-02-08,0,3
2020-02-09,0,5
2020-02-10,9,373
2020-02-11,7,296
2020-02-12,9,322
2020-02-13,4,285
2020-02-14,7,308
2020-02-15,0,2
2020-02-16,0,4
2020-02-17,9,357
2020-02-18,7,315
2020-02-19,4,264
2020-02-20,9,287
2020-02-21,8,315
2020-02-22,0,7
2020-02-23,0,10
2020-02-24,3,337
2020-02-25,8,315
2020-02-26,5,273
2020-02-27,9,286
2020-02-28,7,288
2020-02-29,0,4
2020-03-01,0,2
2020-03-02,12,380
2020-03-03,5,338
2020-03-04,4,276
2020-03-05,0,94
2020-03-06,0,95
2020-03-07,0,2
2020-03-08,0,3
2020-03-09,0,115
2020-03-10,0,91
2020-03-11,6,268
2020-03-12,9,282
2020-03-13,7,305
2020-03-14,0,5
2020-03-15,0,11
2020-03-16,5,396
2020-03-17,4,350
2020-03-18,7,343
2020-03-19,6,280
2020-03-20,1,334
2020-03-21,0,10
2020-03-22,0,5
2020-03-23,3,413
2020-03-24,10,360
2020-03-25,6,283
2020-03-26,2,275
2020-03-27,7,263
2020-03-28,0,6
2020-03-29,0,9
2020-03-30,7,390
2020-03-31,6,333
2020-04-01,7,280
2020-04-02,3,252
2020-04-03,4,287
2020-04-04,0,7
2020-04-05,0,9
2020-04-06,7,406
2020-04-07,6,347
2020-04-08,13,302
2020-04-09,1,239
2020-04-10,2,213
2020-04-11,0,6
2020-04-12,0,6
2020-04-13,6,244
2020-04-14,5,346
2020-04-15,8,318
2020-04-16,3,259
2020-04-17,12,295
2020-04-18,0,8
2020-04-19,0,8
2020-04-20,6,330
2020-04-21,3,292
2020-04-22,4,304
2020-04-23,2,230
2020-04-24,9,283
2020-04-25,0,12
2020-04-26,0,6
2020-04-27,9,377
2020-04-28,5,302
2020-04-29,3,242
2020-04-30,8,268
2020-05-01,4,274
2020-05-02,0,10
2020-05-03,1,9
2020-05-04,5,392
2020-05-05,4,289
2020-05-06,7,265
2020-05-07,9,259
2020-05-08,3,166
2020-05-09,0,8
2020-05-10,0,10
2020-05-11,5,400
2020-05-12,1,318
2020-05-13,2,295
2020-05-14,0,85
