Date,IncidenceOfHypertension,PrevalenceOfHypertension
2018-06-21,7,36
2018-06-22,9,30
2018-06-23,0,0
2018-06-24,0,0
2018-06-25,4,36
2018-06-26,5,37
2018-06-27,6,27
2018-06-28,6,23
2018-06-29,7,22
2018-06-30,0,0
2018-07-01,1,1
2018-07-02,5,22
2018-07-03,5,29
2018-07-04,5,29
2018-07-05,3,31
2018-07-06,3,18
2018-07-07,0,0
2018-07-08,0,0
2018-07-09,3,28
2018-07-10,3,21
2018-07-11,3,20
2018-07-12,6,28
2018-07-13,6,22
2018-07-14,0,0
2018-07-15,0,0
2018-07-16,4,36
2018-07-17,5,29
2018-07-18,5,25
2018-07-19,4,22
2018-07-20,4,19
2018-07-21,0,0
2018-07-22,0,0
2018-07-23,9,40
2018-07-24,2,18
2018-07-25,4,24
2018-07-26,6,34
2018-07-27,2,18
2018-07-28,0,0
2018-07-29,0,0
2018-07-30,1,23
2018-07-31,4,27
2018-08-01,2,27
2018-08-02,3,26
2018-08-03,6,31
2018-08-04,0,0
2018-08-05,0,0
2018-08-06,2,38
2018-08-07,8,42
2018-08-08,2,33
2018-08-09,9,24
2018-08-10,3,24
2018-08-11,0,0
2018-08-12,0,0
2018-08-13,2,25
2018-08-14,7,45
2018-08-15,6,25
2018-08-16,5,14
2018-08-17,8,26
2018-08-18,0,1
2018-08-19,0,0
2018-08-20,8,46
2018-08-21,2,31
2018-08-22,6,33
2018-08-23,7,27
2018-08-24,4,24
2018-08-25,1,1
2018-08-26,0,0
2018-08-27,0,0
2018-08-28,2,29
2018-08-29,5,30
2018-08-30,3,19
2018-08-31,1,26
2018-09-01,0,0
2018-09-02,0,1
2018-09-03,5,29
2018-09-04,5,38
2018-09-05,2,23
2018-09-06,6,21
2018-09-07,7,29
2018-09-08,0,0
2018-09-09,0,0
2018-09-10,7,38
2018-09-11,2,34
2018-09-12,9,28
2018-09-13,5,25
2018-09-14,5,19
2018-09-15,0,0
2018-09-16,0,1
2018-09-17,1,26
2018-09-18,7,30
2018-09-19,4,16
2018-09-20,4,26
2018-09-21,5,18
2018-09-22,0,0
2018-09-23,0,0
2018-09-24,5,30
2018-09-25,7,41
2018-09-26,6,43
2018-09-27,5,31
2018-09-28,2,23
2018-09-29,0,0
2018-09-30,0,0
2018-10-01,6,39
2018-10-02,11,48
2018-10-03,4,32
2018-10-04,10,32
2018-10-05,9,34
2018-10-06,0,0
2018-10-07,0,0
2018-10-08,6,36
2018-10-09,3,22
2018-10-10,7,28
2018-10-11,5,28
2018-10-12,7,37
2018-10-13,0,0
2018-10-14,0,0
2018-10-15,5,35
2018-10-16,4,38
2018-10-17,8,55
2018-10-18,5,33
2018-10-19,8,28
2018-10-20,0,0
2018-10-21,1,1
2018-10-22,6,34
2018-10-23,3,36
2018-10-24,4,27
2018-10-25,4,28
2018-10-26,4,32
2018-10-27,0,0
2018-10-28,0,1
2018-10-29,2,42
2018-10-30,7,50
2018-10-31,6,43
2018-11-01,6,47
2018-11-02,6,28
2018-11-03,1,1
2018-11-04,0,0
2018-11-05,2,29
2018-11-06,6,33
2018-11-07,4,36
2018-11-08,9,46
2018-11-09,6,28
2018-11-10,0,0
2018-11-11,0,0
2018-11-12,7,71
2018-11-13,5,43
2018-11-14,4,34
2018-11-15,6,35
2018-11-16,6,38
2018-11-17,0,0
2018-11-18,0,0
2018-11-19,6,35
2018-11-20,2,34
2018-11-21,6,33
2018-11-22,11,47
2018-11-23,7,27
2018-11-24,0,2
2018-11-25,0,0
2018-11-26,7,41
2018-11-27,5,27
2018-11-28,9,35
2018-11-29,8,42
2018-11-30,5,35
2018-12-01,1,1
2018-12-02,0,1
2018-12-03,5,42
2018-12-04,4,46
2018-12-05,6,52
2018-12-06,8,43
2018-12-07,7,38
2018-12-08,1,1
2018-12-09,0,0
2018-12-10,10,61
2018-12-11,8,48
2018-12-12,8,57
2018-12-13,6,45
2018-12-14,7,34
2018-12-15,0,0
2018-12-16,0,0
2018-12-17,8,64
2018-12-18,9,69
2018-12-19,6,70
2018-12-20,5,128
2018-12-21,5,41
2018-12-22,0,0
2018-12-23,0,0
2018-12-24,4,47
2018-12-25,0,0
2018-12-26,0,0
2018-12-27,2,22
2018-12-28,6,66
2018-12-29,0,0
2018-12-30,0,0
2018-12-31,3,27
2019-01-01,4,7
2019-01-02,4,32
2019-01-03,6,43
2019-01-04,8,42
2019-01-05,1,2
2019-01-06,0,1
2019-01-07,9,51
2019-01-08,6,67
2019-01-09,5,62
2019-01-10,7,54
2019-01-11,12,41
2019-01-12,1,3
2019-01-13,1,1
2019-01-14,4,50
2019-01-15,5,48
2019-01-16,4,31
2019-01-17,7,44
2019-01-18,8,39
2019-01-19,0,0
2019-01-20,0,0
2019-01-21,7,41
2019-01-22,7,54
2019-01-23,7,45
2019-01-24,5,49
2019-01-25,3,38
2019-01-26,0,0
2019-01-27,1,1
2019-01-28,4,43
2019-01-29,7,39
2019-01-30,7,22
2019-01-31,8,47
2019-02-01,5,33
2019-02-02,0,0
2019-02-03,1,1
2019-02-04,4,38
2019-02-05,10,43
2019-02-06,7,50
2019-02-07,8,40
2019-02-08,5,27
2019-02-09,0,0
2019-02-10,0,0
2019-02-11,10,40
2019-02-12,9,52
2019-02-13,2,40
2019-02-14,8,36
2019-02-15,1,29
2019-02-16,0,0
2019-02-17,0,0
2019-02-18,7,52
2019-02-19,10,55
2019-02-20,2,37
2019-02-21,7,42
2019-02-22,5,28
2019-02-23,1,2
2019-02-24,0,1
2019-02-25,6,48
2019-02-26,2,38
2019-02-27,4,62
2019-02-28,6,41
2019-03-01,5,26
2019-03-02,0,0
2019-03-03,0,0
2019-03-04,9,60
2019-03-05,7,50
2019-03-06,5,47
2019-03-07,9,42
2019-03-08,5,21
2019-03-09,0,0
2019-03-10,2,2
2019-03-11,10,53
2019-03-12,5,50
2019-03-13,5,51
2019-03-14,6,34
2019-03-15,11,49
2019-03-16,0,1
2019-03-17,0,0
2019-03-18,7,64
2019-03-19,5,43
2019-03-20,6,42
2019-03-21,5,33
2019-03-22,15,40
2019-03-23,0,1
2019-03-24,0,0
2019-03-25,5,59
2019-03-26,10,62
2019-03-27,7,49
2019-03-28,8,40
2019-03-29,6,34
2019-03-30,0,0
2019-03-31,0,0
2019-04-01,6,49
2019-04-02,8,53
2019-04-03,6,43
2019-04-04,10,44
2019-04-05,11,48
2019-04-06,1,2
2019-04-07,0,0
2019-04-08,8,41
2019-04-09,8,54
2019-04-10,7,59
2019-04-11,5,52
2019-04-12,5,39
2019-04-13,0,0
2019-04-14,0,0
2019-04-15,6,44
2019-04-16,6,46
2019-04-17,4,42
2019-04-18,11,45
2019-04-19,0,0
2019-04-20,0,0
2019-04-21,0,0
2019-04-22,0,0
2019-04-23,6,39
2019-04-24,10,57
2019-04-25,7,26
2019-04-26,5,39
2019-04-27,1,2
2019-04-28,0,0
2019-04-29,9,52
2019-04-30,4,36
2019-05-01,8,56
2019-05-02,3,32
2019-05-03,10,40
2019-05-04,1,3
2019-05-05,0,1
2019-05-06,1,1
2019-05-07,13,51
2019-05-08,7,38
2019-05-09,10,43
2019-05-10,6,33
2019-05-11,0,0
2019-05-12,0,1
2019-05-13,4,39
2019-05-14,5,44
2019-05-15,5,42
2019-05-16,4,76
2019-05-17,8,45
2019-05-18,0,0
2019-05-19,0,0
2019-05-20,8,78
2019-05-21,8,66
2019-05-22,8,76
2019-05-23,12,54
2019-05-24,8,33
2019-05-25,0,0
2019-05-26,0,0
2019-05-27,0,0
2019-05-28,3,49
2019-05-29,7,37
2019-05-30,8,46
2019-05-31,7,34
2019-06-01,5,5
2019-06-02,1,1
2019-06-03,5,35
2019-06-04,10,49
2019-06-05,3,40
2019-06-06,7,37
2019-06-07,1,25
2019-06-08,0,0
2019-06-09,0,0
2019-06-10,11,55
2019-06-11,11,98
2019-06-12,5,66
2019-06-13,8,49
2019-06-14,5,41
2019-06-15,0,0
2019-06-16,0,0
2019-06-17,10,52
2019-06-18,9,82
2019-06-19,4,64
2019-06-20,13,60
2019-06-21,5,37
2019-06-22,0,1
2019-06-23,1,1
2019-06-24,10,85
2019-06-25,5,56
2019-06-26,13,96
2019-06-27,4,112
2019-06-28,7,67
2019-06-29,0,0
2019-06-30,0,0
2019-07-01,7,46
2019-07-02,4,46
2019-07-03,4,46
2019-07-04,8,54
2019-07-05,6,32
2019-07-06,0,1
2019-07-07,0,0
2019-07-08,5,74
2019-07-09,4,52
2019-07-10,5,60
2019-07-11,3,66
2019-07-12,4,26
2019-07-13,0,0
2019-07-14,0,0
2019-07-15,5,43
2019-07-16,9,53
2019-07-17,5,41
2019-07-18,5,60
2019-07-19,6,36
2019-07-20,0,0
2019-07-21,0,0
2019-07-22,5,55
2019-07-23,10,75
2019-07-24,5,49
2019-07-25,7,47
2019-07-26,3,19
2019-07-27,0,0
2019-07-28,0,0
2019-07-29,7,133
2019-07-30,2,41
2019-07-31,3,70
2019-08-01,3,33
2019-08-02,6,34
2019-08-03,0,0
2019-08-04,0,1
2019-08-05,2,46
2019-08-06,1,42
2019-08-07,2,32
2019-08-08,6,38
2019-08-09,6,37
2019-08-10,0,0
2019-08-11,0,1
2019-08-12,3,53
2019-08-13,2,57
2019-08-14,5,45
2019-08-15,8,54
2019-08-16,5,48
2019-08-17,0,0
2019-08-18,0,1
2019-08-19,6,54
2019-08-20,7,83
2019-08-21,3,32
2019-08-22,7,60
2019-08-23,4,55
2019-08-24,0,0
2019-08-25,0,0
2019-08-26,0,0
2019-08-27,4,56
2019-08-28,6,74
2019-08-29,7,44
2019-08-30,7,41
2019-08-31,0,0
2019-09-01,0,0
2019-09-02,6,51
2019-09-03,7,63
2019-09-04,5,45
2019-09-05,4,33
2019-09-06,4,27
2019-09-07,0,0
2019-09-08,0,0
2019-09-09,9,41
2019-09-10,6,43
2019-09-11,3,40
2019-09-12,6,40
2019-09-13,5,32
2019-09-14,0,2
2019-09-15,0,0
2019-09-16,5,72
2019-09-17,4,51
2019-09-18,5,37
2019-09-19,2,36
2019-09-20,3,35
2019-09-21,0,0
2019-09-22,0,0
2019-09-23,4,41
2019-09-24,5,53
2019-09-25,4,37
2019-09-26,6,43
2019-09-27,2,58
2019-09-28,1,3
2019-09-29,0,0
2019-09-30,10,57
2019-10-01,4,60
2019-10-02,8,46
2019-10-03,8,64
2019-10-04,6,25
2019-10-05,0,0
2019-10-06,0,1
2019-10-07,8,40
2019-10-08,8,43
2019-10-09,3,45
2019-10-10,11,37
2019-10-11,6,33
2019-10-12,0,2
2019-10-13,0,0
2019-10-14,4,52
2019-10-15,3,68
2019-10-16,6,57
2019-10-17,7,45
2019-10-18,4,33
2019-10-19,0,0
2019-10-20,0,0
2019-10-21,3,40
2019-10-22,7,47
2019-10-23,1,22
2019-10-24,4,29
2019-10-25,4,20
2019-10-26,0,1
2019-10-27,0,1
2019-10-28,1,44
2019-10-29,8,44
2019-10-30,7,32
2019-10-31,10,49
2019-11-01,4,36
2019-11-02,0,3
2019-11-03,0,0
2019-11-04,11,32
2019-11-05,4,37
2019-11-06,6,36
2019-11-07,3,30
2019-11-08,2,55
2019-11-09,0,0
2019-11-10,0,0
2019-11-11,8,44
2019-11-12,6,42
2019-11-13,1,36
2019-11-14,9,41
2019-11-15,12,34
2019-11-16,1,1
2019-11-17,1,1
2019-11-18,11,49
2019-11-19,12,68
2019-11-20,5,46
2019-11-21,6,32
2019-11-22,7,33
2019-11-23,0,0
2019-11-24,0,0
2019-11-25,6,44
2019-11-26,9,68
2019-11-27,5,39
2019-11-28,9,37
2019-11-29,6,39
2019-11-30,2,2
2019-12-01,0,0
2019-12-02,7,43
2019-12-03,5,45
2019-12-04,6,33
2019-12-05,5,31
2019-12-06,7,32
2019-12-07,0,1
2019-12-08,0,0
2019-12-09,5,28
2019-12-10,12,61
2019-12-11,7,31
2019-12-12,9,41
2019-12-13,6,34
2019-12-14,0,0
2019-12-15,0,0
2019-12-16,5,50
2019-12-17,4,66
2019-12-18,4,57
2019-12-19,10,41
2019-12-20,5,36
2019-12-21,1,2
2019-12-22,0,0
2019-12-23,6,44
2019-12-24,0,30
2019-12-25,0,0
2019-12-26,0,1
2019-12-27,5,13
2019-12-28,0,1
2019-12-29,0,0
2019-12-30,6,30
2019-12-31,9,38
2020-01-01,2,2
2020-01-02,8,29
2020-01-03,7,29
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,7,47
2020-01-07,11,65
2020-01-08,5,45
2020-01-09,4,46
2020-01-10,3,39
2020-01-11,0,1
2020-01-12,0,0
2020-01-13,7,57
2020-01-14,9,93
2020-01-15,9,68
2020-01-16,5,50
2020-01-17,5,48
2020-01-18,0,1
2020-01-19,0,0
2020-01-20,5,57
2020-01-21,6,60
2020-01-22,7,38
2020-01-23,11,53
2020-01-24,3,39
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,11,78
2020-01-28,8,53
2020-01-29,4,48
2020-01-30,13,51
2020-01-31,4,28
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,9,74
2020-02-04,8,73
2020-02-05,9,64
2020-02-06,4,41
2020-02-07,1,31
2020-02-08,1,2
2020-02-09,0,1
2020-02-10,9,60
2020-02-11,7,62
2020-02-12,9,55
2020-02-13,5,40
2020-02-14,6,38
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,10,51
2020-02-18,7,68
2020-02-19,7,46
2020-02-20,16,55
2020-02-21,9,37
2020-02-22,1,1
2020-02-23,0,0
2020-02-24,4,67
2020-02-25,6,74
2020-02-26,3,52
2020-02-27,8,91
2020-02-28,4,31
2020-02-29,0,0
2020-03-01,1,1
2020-03-02,9,62
2020-03-03,6,76
2020-03-04,4,66
2020-03-05,6,66
2020-03-06,7,49
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,7,68
2020-03-10,6,52
2020-03-11,9,46
2020-03-12,9,39
2020-03-13,6,35
2020-03-14,1,1
2020-03-15,0,0
2020-03-16,8,45
2020-03-17,4,39
2020-03-18,7,28
2020-03-19,3,26
2020-03-20,6,25
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,6,27
2020-03-24,7,28
2020-03-25,2,16
2020-03-26,1,13
2020-03-27,4,14
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,3,12
2020-03-31,2,23
2020-04-01,4,9
2020-04-02,1,6
2020-04-03,5,19
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,3,22
2020-04-07,3,12
2020-04-08,3,10
2020-04-09,2,15
2020-04-10,5,6
2020-04-11,0,0
2020-04-12,0,0
2020-04-13,0,7
2020-04-14,3,19
2020-04-15,0,10
2020-04-16,1,12
2020-04-17,1,9
2020-04-18,0,0
2020-04-19,0,0
2020-04-20,1,16
2020-04-21,1,18
2020-04-22,0,10
2020-04-23,2,13
2020-04-24,2,9
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,0,22
2020-04-28,2,27
2020-04-29,1,18
2020-04-30,3,14
2020-05-01,3,9
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,3,43
2020-05-05,6,50
2020-05-06,3,15
2020-05-07,2,16
2020-05-08,0,2
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,0,18
2020-05-12,2,26
2020-05-13,4,21
2020-05-14,0,13
2020-05-15,2,9
2020-05-16,1,1
2020-05-17,0,0
2020-05-18,2,22
2020-05-19,1,8
2020-05-20,0,0
2020-05-21,0,0
2020-05-22,0,0
