Date,IncidenceOfStatin,PrevalenceOfStatin
2020-02-12,9,1316
2020-02-13,10,1337
2020-02-14,15,1305
2020-02-15,0,17
2020-02-16,0,38
2020-02-17,20,1767
2020-02-18,14,1499
2020-02-19,6,1294
2020-02-20,14,1285
2020-02-21,19,1410
2020-02-22,0,9
2020-02-23,0,64
2020-02-24,10,1742
2020-02-25,15,1451
2020-02-26,15,1205
2020-02-27,11,1366
2020-02-28,11,1408
2020-02-29,0,6
2020-03-01,1,12
2020-03-02,6,1854
2020-03-03,5,1638
2020-03-04,8,1352
2020-03-05,12,1312
2020-03-06,6,1379
2020-03-07,2,6
2020-03-08,0,39
2020-03-09,24,1972
2020-03-10,10,1583
2020-03-11,10,1335
2020-03-12,14,1272
2020-03-13,8,1361
2020-03-14,0,20
2020-03-15,0,48
2020-03-16,7,2109
2020-03-17,12,1808
2020-03-18,10,1521
2020-03-19,11,1453
2020-03-20,9,1528
2020-03-21,1,14
2020-03-22,0,33
2020-03-23,7,2094
2020-03-24,7,1720
2020-03-25,6,1344
2020-03-26,19,1310
2020-03-27,8,1293
2020-03-28,0,16
2020-03-29,1,36
2020-03-30,3,1837
2020-03-31,6,1575
2020-04-01,10,1258
2020-04-02,7,1272
2020-04-03,7,1442
2020-04-04,0,23
2020-04-05,0,33
2020-04-06,2,1899
2020-04-07,4,1543
2020-04-08,4,1445
2020-04-09,6,1352
2020-04-10,4,838
2020-04-11,0,13
2020-04-12,0,21
2020-04-13,0,977
2020-04-14,2,1700
2020-04-15,2,1410
2020-04-16,4,1227
2020-04-17,6,1412
2020-04-18,0,12
2020-04-19,0,15
2020-04-20,6,1723
2020-04-21,5,1571
2020-04-22,1,1214
2020-04-23,0,1206
2020-04-24,3,1340
2020-04-25,0,17
2020-04-26,0,24
2020-04-27,3,1765
2020-04-28,5,1429
2020-04-29,2,1208
2020-04-30,3,1263
2020-05-01,2,1319
2020-05-02,0,30
2020-05-03,0,13
2020-05-04,3,1784
2020-05-05,4,1465
2020-05-06,6,1235
2020-05-07,6,1270
2020-05-08,1,741
2020-05-09,0,12
2020-05-10,0,11
2020-05-11,4,1937
2020-05-12,2,1584
2020-05-13,4,1261
2020-05-14,5,1302
2020-05-15,4,1289
2020-05-16,0,13
2020-05-17,0,10
2020-05-18,6,1875
2020-05-19,1,1509
2020-05-20,3,1220
2020-05-21,4,1289
2020-05-22,2,1196
2020-05-23,0,17
2020-05-24,1,13
2020-05-25,0,455
2020-05-26,1,1003
2020-05-27,0,410
2020-05-28,0,422
2020-05-29,0,430
2020-05-30,0,19
2020-05-31,0,7
2020-06-01,0,313
2020-06-02,0,405
2020-06-03,0,304
2020-06-04,0,365
2020-06-05,0,369
2020-06-06,0,5
2020-06-07,0,4
2020-06-08,0,245
2020-06-09,0,305
2020-06-10,0,251
